0,0
0.633502538,0.253239588
0.633502538,1.247028407
1.949238579,1.249298483
2.485279188,6.136351694
4.239593909,6.222194197
4.385786802,7.464682452
6.529949239,7.5
6.627411168,8.627970279
9.551269036,8.881462097
9.551269036,9.958066652
14.08324873,10.37996448
14.22944162,11.62245273
28.60507614,11.66
28.70253807,13.22092253
29.67715736,13.30541981
29.87208122,15.12770228
41.22639594,15.47855514
41.32385787,18.70853696
41.71370558,18.70920957
41.85989848,22.0220912
48,22.03453458
