0.082395094,1.780015835
0.181530885,10.67184208
0.383643769,21.93708987
0.494756371,27.27371543
0.624236772,28.16644077
0.889722755,29.35949221
1.087541432,31.14313128
1.176595902,32.77539956
1.373877803,33.37383754
1.408248232,34.26374482
1.503425301,34.41471303
1.530935064,35.15626887
1.728015674,35.31025644
1.762386103,36.20016372
1.762386103,36.20016372
2.258853447,37.40005905
2.341449832,39.77287672
2.579560246,40.52067258
2.688659939,41.41279405
2.960738201,42.16159637
3.09681088,42.6100726
3.368687851,42.91442451
3.396398905,44.10043076
3.532270293,44.10445658
3.586954334,44.84681759
4.001697554,45.59984702
4.137636039,45.75202297
4.158218038,46.19707726
4.232947302,46.19929146
4.233416981,47.23634241
4.505159758,47.24439405
4.505428146,47.83699459
4.614125257,47.84021525
4.607868463,49.02521505
4.702978435,49.02803312
4.723963016,50.36198822
4.880215113,50.36661791
4.880550598,51.10736859
5,51.1115957
